,,,,,,,# 
USGS,02085070,2018-10-30 20:45,EDT,83.8,P,2.09,P
USGS,02085070,2018-10-30 21:00,EDT,83.8,P,2.09,P
USGS,02085070,2018-10-30 21:15,EDT,83.8,P,2.09,P
USGS,02085070,2018-10-30 21:30,EDT,82.2,P,2.08,P
USGS,02085070,2018-10-30 21:45,EDT,82.2,P,2.08,P
USGS,02085070,2018-10-30 22:00,EDT,82.2,P,2.08,P
USGS,02085070,2018-10-30 22:15,EDT,82.2,P,2.08,P
USGS,02085070,2018-10-30 22:30,EDT,82.2,P,2.08,P
USGS,02085070,2018-10-30 22:45,EDT,82.2,P,2.08,P
USGS,02085070,2018-10-30 23:00,EDT,80.6,P,2.07,P
USGS,02085070,2018-10-30 23:15,EDT,80.6,P,2.07,P
USGS,02085070,2018-10-30 23:30,EDT,80.6,P,2.07,P
USGS,02085070,2018-10-30 23:45,EDT,80.6,P,2.07,P
USGS,02085070,2018-10-31 00:00,EDT,80.6,P,2.07,P
USGS,02085070,2018-10-31 00:15,EDT,80.6,P,2.07,P
USGS,02085070,2018-10-31 00:30,EDT,80.6,P,2.07,P
USGS,02085070,2018-10-31 00:45,EDT,80.6,P,2.07,P
USGS,02085070,2018-10-31 01:00,EDT,79.0,P,2.06,P
USGS,02085070,2018-10-31 01:15,EDT,79.0,P,2.06,P
USGS,02085070,2018-10-31 01:30,EDT,79.0,P,2.06,P
USGS,02085070,2018-10-31 01:45,EDT,79.0,P,2.06,P
USGS,02085070,2018-10-31 02:00,EDT,79.0,P,2.06,P
USGS,02085070,2018-10-31 02:15,EDT,79.0,P,2.06,P
USGS,02085070,2018-10-31 02:30,EDT,77.5,P,2.05,P
USGS,02085070,2018-10-31 02:45,EDT,79.0,P,2.06,P
USGS,02085070,2018-10-31 03:00,EDT,77.5,P,2.05,P
USGS,02085070,2018-10-31 03:15,EDT,77.5,P,2.05,P
USGS,02085070,2018-10-31 03:30,EDT,77.5,P,2.05,P
USGS,02085070,2018-10-31 03:45,EDT,77.5,P,2.05,P
USGS,02085070,2018-10-31 04:00,EDT,77.5,P,2.05,P
USGS,02085070,2018-10-31 04:15,EDT,77.5,P,2.05,P
USGS,02085070,2018-10-31 04:30,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 04:45,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 05:00,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 05:15,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 05:30,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 05:45,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 06:00,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 06:15,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 06:30,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 06:45,EDT,75.9,P,2.04,P
USGS,02085070,2018-10-31 07:00,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 07:15,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 07:30,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 07:45,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 08:00,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 08:15,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 08:30,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 08:45,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 09:00,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 09:15,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 09:30,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 09:45,EDT,74.4,P,2.03,P
USGS,02085070,2018-10-31 10:00,EDT,73.0,P,2.02,P
USGS,02085070,2018-10-31 10:15,EDT,73.0,P,2.02,P
